Time,L_9_x,L_9_y,L_9_x_diff,L_9_y_diff,L_9_x_diff2,L_9_y_diff2,theta_r1,theta_r1_diff,theta_r1_diff2
0.00000000000,-16.41660000000,-31.83270000000,-66.93222000000,-6.53339000000,94.57200000000,161.41100000000,21.62450000000,-91.67320000000,187.67500000000
0.01000000000,-17.08100000000,-31.89010000000,-65.95090000000,-4.94318000000,101.63900000000,156.56200000000,20.71750000000,-89.77680000000,191.55900000000
0.02000000000,-17.73540000000,-31.93180000000,-64.90140000000,-3.40293000000,108.16980000000,151.44900000000,19.82930000000,-87.84370000000,194.97000000000
0.03000000000,-18.37890000000,-31.95830000000,-63.78930000000,-1.91493000000,114.16700000000,146.12000000000,18.96070000000,-85.87890000000,197.92300000000
0.04000000000,-19.01100000000,-31.97020000000,-62.61990000000,-0.48111000000,119.63400000000,140.61900000000,18.11190000000,-83.88680000000,200.43300000000
0.05000000000,-19.63110000000,-31.96810000000,-61.39840000000,0.89701000000,124.58100000000,134.98900000000,17.28300000000,-81.87170000000,202.51973000000
0.06000000000,-20.23880000000,-31.95250000000,-60.12990000000,2.21836000000,129.01900000000,129.26900000000,16.47450000000,-79.83770000000,204.20300000000
0.07000000000,-20.83350000000,-31.92390000000,-58.81960000000,3.48221000000,132.96553000000,123.49600000000,15.68630000000,-77.78890000000,205.50300000000
0.08000000000,-21.41500000000,-31.88300000000,-57.47220000000,4.68821000000,136.43718000000,117.70400000000,14.91870000000,-75.72890000000,206.44300000000
0.09000000000,-21.98290000000,-31.83037000000,-56.09240000000,5.83634000000,139.45400000000,111.92600000000,14.17180000000,-73.66110000000,207.04400000000
0.10000000000,-22.53680000000,-31.76650000000,-54.68460000000,6.92686000000,142.03900000000,106.18900000000,13.44550000000,-71.58902000000,207.32900000000
0.11000000000,-23.07650000000,-31.69200000000,-53.25300000000,7.96033000000,144.21400000000,100.51800000000,12.74000000000,-69.51550000000,207.32100000000
0.12000000000,-23.60180000000,-31.60750000000,-51.80160000000,8.93753000000,146.00400000000,94.93760000000,12.05520000000,-67.44350000000,207.04300000000
0.13000000000,-24.11250000000,-31.51350000000,-50.33410000000,9.85945000000,147.43200000000,89.46624000000,11.39110000000,-65.37550000000,206.51600000000
0.14000000000,-24.60840000000,-31.41050000000,-48.85400000000,10.72730000000,148.52400000000,84.12162000000,10.74770000000,-63.31390000000,205.76200000000
0.15000000000,-25.08950000000,-31.29910000000,-47.36470000000,11.54240000000,149.30394000000,78.91840000000,10.12480000000,-61.26096000000,204.80200000000
0.16000000000,-25.55570000000,-31.17980000000,-45.86890000000,12.30620000000,149.79700000000,73.86910000000,9.52244000000,-59.21850000000,203.65800000000
0.17000000000,-26.00690000000,-31.05310000000,-44.36960000000,13.02030000000,150.02700000000,68.98360000000,8.94041000000,-57.18840000000,202.34900000000
0.18000000000,-26.44310000000,-30.91960000000,-42.86920000000,13.68640000000,150.01799000000,64.27030000000,8.37862000000,-55.17200000000,200.89300000000
0.19000000000,-26.86430000000,-30.77960000000,-41.37000000000,14.30630000000,149.79200000000,59.73540000000,7.83692000000,-53.17091000000,199.31000000000
0.20000000000,-27.27050000000,-30.63360000000,-39.87400000000,14.88170000000,149.37200000000,55.38340000000,7.31515000000,-51.18620000000,197.61600000000
0.21000000000,-27.66180000000,-30.48210000000,-38.38310000000,15.41460000000,148.77832000000,51.21740000000,6.81314000000,-49.21890000000,195.82814000000
0.22000000000,-28.03820000000,-30.32540000000,-36.89890000000,15.90670000000,148.03200000000,47.23920000000,6.33071000000,-47.26990000000,193.96200000000
0.23000000000,-28.39978000000,-30.16410000000,-35.42290000000,16.36000000000,147.15100000000,43.44910000000,5.86768000000,-45.33990000000,192.03200000000
0.24000000000,-28.74670000000,-29.99830000000,-33.95630000000,16.77630000000,146.15500000000,39.84670000000,5.42385000000,-43.42940000000,190.05200000000
0.25000000000,-29.07890000000,-29.82865000000,-32.50010000000,17.15750000000,145.06100000000,36.43040000000,4.99902000000,-41.53900000000,188.03600000000
0.26000000000,-29.39670000000,-29.65530000000,-31.05530000000,17.50550000000,143.88400000000,33.19810000000,4.59300000000,-39.66880000000,185.99500000000
0.27000000000,-29.70010000000,-29.47860000000,-29.62270000000,17.82210000000,142.64100000000,30.14670000000,4.20558000000,-37.81910000000,183.94200000000
0.28000000000,-29.98920000000,-29.29900000000,-28.20270000000,18.10910000000,141.34600000000,27.27290000000,3.83655000000,-35.99000000000,181.88600000000
0.29000000000,-30.26420000000,-29.11660000000,-26.79590000000,18.36810000000,140.01100000000,24.57266000000,3.48571000000,-34.18130000000,179.84000000000
0.30000000000,-30.52520000000,-28.93170000000,-25.40260000000,18.60107000000,138.65100000000,22.04180000000,3.15286000000,-32.39310000000,177.81100000000
0.31000000000,-30.77230000000,-28.74460000000,-24.02290000000,18.80950000000,137.27500000000,19.67570000000,2.83778000000,-30.62500000000,175.81000000000
0.32000000000,-31.00570000000,-28.55560000000,-22.65710000000,18.99510000000,135.89600000000,17.46980000000,2.54029000000,-28.87680000000,173.84400000000
0.33000000000,-31.22547000000,-28.36480000000,-21.30500000000,19.15940000000,134.52400000000,15.41900000000,2.26018000000,-27.14800000000,171.92200000000
0.34000000000,-31.43180000000,-28.17250000000,-19.96653000000,19.30400000000,133.16800000000,13.51860000000,1.99727000000,-25.43820000000,170.05200000000
0.35000000000,-31.62480000000,-27.97880000000,-18.64150000000,19.43030000000,131.83800000000,11.76360000000,1.75136000000,-23.74680000000,168.24000000000
